"price","retail_price","units_sold","uses_ad_boosts","rating","rating_count","countries_shipped_to","origin_country","merchant_title","merchant_satisfaction","merchant_rating_count","merchant_rating","merchant_id","merchant_has_profile_picture","product_id","merchant_satisfaction_temp"
9,81,50000,0,4.26,5359,40,"CN","Fashionshow68",88,59198,4.11,"54bcaabb39b8c00b482a115f",0,"556fbe8595528719e004fa27","88 % avis positifs (59,198 notes)"
12,14,100,1,3.79,24,22,"CN","baijupingshop",87,196,4.02,"5e5c7c2c77179e31406eece1",0,"5ea7e2d999ecf941204c42ee","87% Positives Feedback (196 Bewertungen)"
3.69,40,100,0,3.53,59,24,"CN","wuewi",93,10917,4.36,"58501ac7b9e3474c9f4b2afd",0,"5e702eb03aa1f42076ffabc9","93 % avis positifs (10,917 notes)"
5,5,10000,1,3.82,3208,63,"CN","Brittany",89,27055,4.15,"56e6928521790d587623b3b4",0,"57d3bc906cfeb9135f44ded5","89 % avis positifs (27,055 notes)"
5.84,56,100,0,3.28,36,43,"CN","happyshoooping",86,40943,4.02,"56c6f731bc435416ed5984d7",0,"5c136c3cb870cf4e458afee4","86 % avis positifs (40,943 notes)"
13,50,1000,0,4.03,855,32,"CN","Knights",87,9136,4.09,"57108cd6a995b507211ef8fb",1,"5af6bc9c13927d50370db58a","87 % avis positifs (9,136 notes)"
9,8,10000,0,3.18,1783,24,"CN","fengjinying",NULL,10474,3.91,"5b160017daac45594728d9ba",0,"5d1573a55a16864c5de706ab","(10,474 notes)"
1,11,1000,1,3.8,5,41,"CN","Flora boutique",81,8197,3.86,"5684ca0f73c0e02989b91cad",0,"5ee717cbcb636e7b8b597fc3","81 % avis positifs (8,197 notes)"
9,8,5000,1,4.03,889,33,"CN","WOW BANG",87,16013,4.11,"5c51b9b468178729c4213657",0,"5ceb62be9795ee4693f2cd00","87% retroalimentación positiva (16,013 calificaciones)"
6,56,1000,1,3.5,938,28,"CN","Nalin International",NULL,13309,3.88,"55c89dc93a698c6010edccc4",0,"5af519e189a29b15fca1b13b","(13,309 notes)"
9,8,5000,0,4.06,743,41,"CN","Fashion Trend Line",85,20681,4,"5660e53e769a564b3e3aeca0",1,"5c879aba202e6b38cd317164","85 % avis positifs (20,681 notes)"
11,68,1000,0,4.13,211,40,"CN","LeadTheFashion",90,11597,4.22,"5a4b4ab27dee4a057cca7429",0,"5d52b1d7314eb61030644375","90 % avis positifs (11,597 notes)"
5,38,50,1,5,2,33,"CN","zufanqiudinli",88,9,3.67,"5e4b6a0c57cc9b0b53e499a4",0,"5eba6ecb9a9e129fb97b5dfd","88 % avis positifs (9 notes)"
2.72,3,100,1,3.1,20,35,"CN","youngpeopleshop",85,14482,4,"5ab3b592c3911a095ad5dadb",0,"5ebf5819ebac372b070b0e70","85 % avis positifs (14,482 notes)"
8,10,100,0,2.71,7,20,"CN","lianlie",84,224,3.89,"5eb8b5ebac21070efaf91c99",0,"5ec5cf37cd3da70de19c3f18","84 % avis positifs (224 notes)"
14,67,1000,0,3.81,187,40,"CN","saya2016",88,11900,4.15,"580f06685250a20783d33e56",1,"5d034039c822d263d90f58d4","88 % avis positifs (11,900 notes)"
8,7,10000,1,3.93,1670,30,"CN","keepahorse",88,66644,4.14,"577fb2b368116418674befd9",1,"5c9ca27e5aee12258c2f341c","88 % avis positifs (66,644 notes)"
5.79,30,1000,1,3.41,212,118,"CN","taomi  gogo",NULL,21012,4.19,"5b14d31d7e43f22f255ea98c",1,"5d29bc2ed35393550e31d6f3","(21,012 notes)"
8,22,100,1,3.74,47,41,"CN","Aidos",82,50593,3.88,"583d7475269aad1da3dc2294",0,"5e86c211d22ae539102d25c7","82 % avis positifs (50,593 notes)"
4.94,5,10000,1,3.93,1331,49,"CN","Smart Home International Co.Ltd",88,55670,4.12,"55c8a4c33a698c6010edcd9e",1,"5d2407e66e8e037b4dd9fad3","88 % avis positifs (55,670 notes)"
8,33,10,0,5,0,25,"CN","WSLCWM",88,1496,4.17,"592955ef980a346d826f7bfc",0,"5ed0dfc51fa8446451b19c0d","88 % avis positifs (1,496 notes)"
9,33,50,1,4.5,4,41,"CN","Seraih",87,8397,4.12,"575ab2de20c8d15cb59e5ee0",0,"5eb0f23c904507255ca6530c","87 % avis positifs (8,397 notes)"
7,6,100,0,4.26,53,31,"CN","chooop",81,2055,3.84,"5d462e58f320403871a78593",1,"5e4267d60640954a435e64f5","81 % avis positifs (2,055 notes)"
11,10,10000,0,4.24,1045,36,"CN","luojiayushop",91,9200,4.29,"583e7f658108913bced6f8cf",0,"5b29e5b5080ea2661b2287f6","91 % avis positifs (9,200 notes)"
8,92,100,0,3.56,16,55,"CN","wangjiangxu",84,7076,3.97,"58311e2257e86a1b8863f74c",0,"5eafcf8a1f07813cd5404b52","84 % avis positifs (7,076 notes)"
5.83,5,10000,1,4.22,2055,35,"CN","hellohorse",89,126370,4.15,"58ad449708de0c6dc59d9e06",1,"5c91e1ecb14bfa747e277427","89% opinii pozytywnych (liczba ocen: 126,370)"
5.9,5,10000,0,3.64,1933,30,"CN","cp7438",NULL,2366,3.95,"591ed674fc9cce0fcd7ff354",0,"5de079e771151e6e9e85ee05","(2,366 notes)"
6,20,100,0,3.08,13,43,"CN","Langwei Garment Co., LTD",NULL,2776,3.93,"546415e89719cd2ac2e20045",0,"5e97e0c7cb3cec329c7b4e98","(2,776 notes)"
7,6,50000,1,4.41,17444,35,"CN","hellohorse",89,126370,4.15,"58ad449708de0c6dc59d9e06",1,"5ad987d8918dae087d633040","89 % avis positifs (126,370 notes)"
8,7,10000,1,3.7,1404,48,"CN","realmhome",84,4178,3.94,"5c73a50ba0e25714e7f2bf90",0,"5cc67417a01bbd6b6c066df2","84 % avis positifs (4,178 notes)"
5.78,8,20000,1,4,3975,29,"CN","vemaneya",90,6555,4.18,"5b2620ddd1c360688799eb51",0,"5c061cf358603c4b35a19363","90% opinii pozytywnych (liczba ocen: 6,555)"
12,17,5000,0,3.94,387,43,"CN","xiaoameiyou",NULL,1288,3.98,"5ae417f567d25c041f6dd934",0,"5e5f5289a950c34147f0d94b","(1,288 notes)"
11,10,20000,1,4.07,3070,35,"CN","f40051ab1zhong9",84,12974,3.97,"5a7b23a69bda4e3d375e7b3f",0,"5cf5e44b3c8b9e101a5db52c","84 % avis positifs (12,974 notes)"
11,10,100,1,3.46,50,41,"CN","charming_family",91,225438,4.3,"53f6b7c81c105e2dfac91041",0,"5d5d038d99df1e17cc9313cf","91 % avis positifs (225,438 notes)"
5.77,48,100000,0,4.1,20744,46,"CN","trendy_world",86,330405,4.07,"53f2beb39020ee03566d6e18",1,"544b079d1280fa28eee9b380","86 % avis positifs (330,405 notes)"
9,8,20000,0,3.7,3820,20,"CN","new style",87,15748,4.06,"5368f053bb72c5150191a140",0,"5b35cab04f75026255f2364a","87 % avis positifs (15,748 notes)"
1.86,9,100,1,3.57,42,40,"CN","schmuckdesignonline",83,7248,3.94,"56c94ae6df108f5af83b1e0f",0,"5e958754a9136f26ddb12929","83 % avis positifs (7,248 notes)"
14,92,100,1,4.54,13,36,"CN","Guifen underwear",86,54,4.19,"5e72dc545021d6138b405bdc",0,"5eb8b430e015797901090ac0","86 % avis positifs (54 notes)"
3.69,4,1000,0,3.64,212,24,"CN","nmgyusj",86,1559,4.04,"5d40ffe372b0c94d00f6c1f0",0,"5e7f13c2bd7ab15d52e9b5f9","86 % avis positifs (1,559 notes)"
5.79,42,1000,0,3.32,121,43,"CN","Molesfashion",83,5083,3.95,"566eaa533a698c6442549a74",0,"5d1db3c0e2b5cc0f74e091af","83 % avis positifs (5,083 notes)"
11,30,100,1,4.11,28,45,"CN","Dongguang Internationnal",90,9541,4.21,"5486cf7540b3786ec7c7e4ee",0,"5e9d55038d475a01721c1c7f","90 % avis positifs (9,541 notes)"
6,8,10000,0,3.96,1338,43,"CN","young's boutique",80,54504,3.8,"55c8029641d799421d41fe3a",1,"5a5db5398988991d7f7aec44","80 % avis positifs (54,504 notes)"
20,17,100,1,2.8,15,36,"CN","lidandanshop",NULL,67,3.3,"5e64b92e00ff3743cf8f3c3d",0,"5e9fff5de4df1d32ef2ca70c","(67 notes)"
5.66,5,5000,0,3.89,1161,42,"CN","Dazzling_store",NULL,99283,4.29,"58a6b5d975b8da57c954c719",0,"5a4b9eba2b0a1c3062666033","(99,283 notes)"
8,7,1000,1,3.61,668,39,"CN","zhenyangongyequ7766",NULL,40616,4.1,"556fc80f95528719e004fe8b",0,"5c5fc9a63af7386b63c00d25","(40,616 notes)"
6,6,1000,1,3.82,134,35,"CN","lianglinglingdian",81,670,3.84,"5a2bc05fddda8c49398c52fe",0,"5e6bbe2bb683599ccbb78637","81 % avis positifs (670 notes)"
11,10,5000,0,3.96,1556,23,"CN","Jingka",NULL,4610,4.25,"5ac0310597223354603de223",0,"5b1f9afe694fab75ca9fa8ea","(4,610 notes)"
11,10,10000,0,3.77,1694,31,"CN","Lin Fashion Store",85,13946,4,"559d33adc605853731afbf10",0,"5c78151c27202a28a75752b7","85 % avis positifs (13,946 notes)"
14,12,10000,0,3.93,2946,26,"CN","xiejiatang",82,32858,3.89,"57baf75f63834218e305e4f4",0,"5acb7ae3a69e662bb0133546","82 % avis positifs (32,858 notes)"
5,5,100,1,4.3,10,22,"CN","Sunshine In You Eyes",89,10799,4.17,"5845000d330f3a4d59cff91f",0,"5e9d3df803ee35376979fe40","89 % avis positifs (10,799 notes)"
11,10,1000,0,4.12,249,21,"CN","fuzhoushicangshanqutiantuwenhuachuanboyouxiangongsi",NULL,8989,3.85,"54db03867851097093c0efe7",1,"5dd00194ea9f8e175c5561a9","(8,989 notes)"
12,67,10,0,3.67,3,32,"CN","eirufjl",84,238,4.01,"5d53751b40defd6833e480ad",0,"5eb8a1d594d1e31702a4ef7c","84 % avis positifs (238 notes)"
5.68,5,10,0,4.5,2,109,"CN","langsengy",97,160,4.51,"5db248327c0d0800c24fc084",1,"5ec118ec7b4679d720f8de1d","97 % avis positifs (160 notes)"
11,10,100,1,4,12,32,"VE","Tobeplayer",85,546,4.01,"5dbb45d78aabea2d9e97b407",0,"5ddf65d292bf935981e0eaa7","85 % avis positifs (546 notes)"
17,15,10000,0,4.16,3040,52,"CN","Vangull",92,12881,4.35,"565537c7a9a8a4572be0bef5",1,"5780938ff1ab1f1146be7dd1","92 % avis positifs (12,881 notes)"
7,43,100,0,3.71,21,40,"CN","tingshen",82,9078,3.88,"58ff26fc42fc6a113afae083",0,"5e3fa5ca9c4021248d4e1c37","82 % avis positifs (9,078 notes)"
7,6,100,0,5,2,41,"CN","aishoumat",NULL,9703,3.97,"5a9e4f25e05388149703d9c8",0,"5edf1267c771c4255ceee25d","(9,703 notes)"
11,59,1000,0,4.11,135,41,"CN","BigHero",86,6715,4.06,"58c910072be00b51c601ccee",1,"5d93f4284385140973836ddf","86 % avis positifs (6,715 notes)"
12,43,100,0,3.59,27,42,"CN","Raverks",83,3237,3.95,"55dc2bf3b92a5941ebd4ecf2",0,"5e74326f3ae3412b2f7d9f42","83% ردود فعل إيجابية (3,237 تصنيفات)"
13,51,5000,0,3.61,127,43,"CN","praden",84,17244,3.95,"576518fcf093bd5e79c5e351",0,"5eb8d93dbd495919c2a0feb6","84 % avis positifs (17,244 notes)"
2.72,9,1,0,5,0,33,"CN","Kyiswen",75,378,3.6,"5d417e7070327a2743021677",0,"5ed3ae8e7bf8821d5cf4bc64","75 % avis positifs (378 notes)"
6,6,20000,1,3.99,1600,33,"CN","WOW BANG",87,16013,4.11,"5c51b9b468178729c4213657",0,"5cf509abb483551e0278ac5e","87 % avis positifs (16,013 notes)"
9,56,100,1,4.03,30,19,"US","Ashley Johnson",73,49,3.71,"5e6d18bceb2b33bdc975950f",0,"5e946e7e5a19660b52733c7e","73 % avis positifs (49 notes)"
5.86,5,1000,0,3.73,150,30,"CN","wonderful1688",86,9308,3.99,"545dab9f5f313f1e28cb1a2f",0,"5ce74be097a9f1764b0df1f3","86 % avis positifs (9,308 notes)"
7,6,100,0,5,0,140,"AT","tutishop",NULL,0,5,"5dab9ece69ce753090f6735c",0,"5f01c514792d0b94d29d0cb6",NULL
2,2,10000,1,3.99,980,23,"CN","Suyi Technology",86,12309,4.05,"5acaf29d5ebcfd72403106a8",1,"5cf632d1c0baab5b15e71437","86 % avis positifs (12,309 notes)"
13,17,5000,0,4.11,792,43,"CN","eeeeffff889966",NULL,4571,3.91,"5b96067f42ebca48f6c041e8",0,"5d2432e4e991b724c8327597","(4,571 notes)"
8,7,5000,1,3.6,1254,28,"CN","shuilingjiao international trade company",NULL,88193,4.08,"5533c83986ff95173dc017d0",1,"5ce604beadbdfb572729ca3f","(88,193 notes)"
11,10,1000,1,3.78,299,35,"CN","Chentuyi Store",NULL,433,3.9,"5dde67d7801ecf6d4c385348",0,"5e7482a975c1d92dea899a18","(433 notes)"
16,76,100,1,3.53,38,58,"CN","aa321707",92,1088,4.27,"567eb3a5d8a1043c0ab70707",1,"5e8dd27d5318e78013eafd40","92 % avis positifs (1,088 notes)"
11,10,100,0,4.6,5,42,"CN","Smeer co. ltd.",87,38936,4.12,"55ed54947e8372421830b946",1,"5ebb8a4dc5b72c3e982ec9c1","87 % avis positifs (38,936 notes)"
11,10,5000,0,3.72,1008,25,"CN","besagift",NULL,61895,4.27,"55e7e41e606d0a18fdfc67d1",1,"5aec22cec25735338c544690","(61,895 notes)"
8,7,20000,0,4.16,6860,32,"CN","211670008@qq.com",91,43676,4.28,"578866243a698c1713f2d19c",0,"57eccd2865007e1903d250d8","91 % avis positifs (43,676 notes)"
14,12,1000,1,4.04,481,41,"CN","Denas Fashion",82,26473,3.89,"55dc300452a04b658ad68139",0,"5cd939cadb29322e7a79b575","82 % avis positifs (26,473 notes)"
12,11,20000,1,3.89,2294,50,"CN","redisland",NULL,59903,4.15,"557ed5b886d66519ff242099",1,"5d05d9ca81f992576d4f0d23","(59,903 notes)"
6,16,100,1,3.11,27,18,"CN","LISTONE",82,9177,3.87,"59b7d6e1eea5c510889ea754",0,"5eb650f019701819801f42b2","82% Positives Feedback (9,177 Bewertungen)"
8,7,1000,1,4.07,267,38,"CN","FlyE",88,2745,4.13,"5cd6743c8da3ad22253d937f",0,"5cfa8fd7b5db0b6cbdb5f4a6","88 % avis positifs (2,745 notes)"
8,84,20000,0,3.96,8960,125,"CN","shaoling01yang",90,48654,4.2,"58183b4ea642e03dc54eda6e",0,"58e0f38f9bf29f55183efd0d","90 % avis positifs (48,654 notes)"
8,25,5000,0,4,32,43,"CN","longfashionstores",88,13127,4.12,"599bf53b21064f19ffffc891",0,"5ebe24ca1c5e1d1d5306a00b","88 % avis positifs (13,127 notes)"
11,22,1000,1,3.97,359,30,"CN","chaojishanghu",92,4508,4.33,"5901f6c2a8e3eb2aca4b5559",0,"5d134234b8b4be6c4ed403ff","92 % avis positifs (4,508 notes)"
3.66,4,5000,0,3.19,1080,45,"CN","Sangboo Store",NULL,10600,3.87,"582833faea77701b456c786a",0,"5cb854e30715c33b71bcd318","คำติชมเชิงบวก 82% (10,600 คะแนน)"
13,11,1000,1,3.82,11,43,"CN","sjhdstoer",85,80093,4.01,"583138b06339b410ab9663ec",0,"5ec37404c1831f02b79b7cd9","85 % avis positifs (80,093 notes)"
7,9,1000,0,3.75,219,44,"CN","XMB mobile experience store",89,30643,4.15,"5853765779b45e0b58ad30f4",1,"5a3e27622b0a1c693c87e849","89 % avis positifs (30,643 notes)"
4.81,76,10000,0,4.16,3135,39,"CN","taishon",83,24564,3.93,"5763e55cc6053f5e70522ad7",0,"5b74c8f200e4c40836165131","83 % avis positifs (24,564 notes)"
9,8,5000,0,4.29,761,55,"US","Lees Closet",88,5819,4.15,"583e34bb0299bc7904a92edf",0,"5cad4ef199e9b858928efbff","88 % avis positifs (5,819 notes)"
18,115,100,0,3.68,177,51,"CN","xvsivo7412",NULL,300,4.16,"57ac5da80e3c8a18b4746013",0,"5b1bf3ccbe42dd67af401067","(300 notes)"
7,6,5000,1,3.63,601,41,"CN","suzhure",85,12033,4.02,"59afe1e030e1f33208fb2ca0",0,"5bf4c675e52f7426b0d688f3","85 % avis positifs (12,033 notes)"
5,8,1000,1,3.06,31,40,"CN","HillnTrees",83,8484,4,"5700e2be27992f63cdca2dca",0,"5e9e8180ec24302643422eff","83 % avis positifs (8,484 notes)"
1.68,2,1000,1,3.76,51,30,"CN","wowomart",85,365,3.94,"5d5b651b283abc16408fff54",0,"5e9acdb9faf87d3f938dbbe6","85 % avis positifs (365 notes)"
7,6,100,1,3.81,21,49,"CN","White FFF Shop",86,44,3.77,"5dc682d24b0ae7154300d493",0,"5e951bd77e3ea319cb8c4d83","86 % avis positifs (44 notes)"
13,19,1000,1,3.76,151,12,"CN","Horesen bestwell comenbin",84,171,3.94,"5de7a6aa4c9c821f67c14ac3",0,"5e26fc417db45b12adcdffef","84 % avis positifs (171 notes)"
11,89,100,0,3.46,24,52,"CN","ocean5for8ZH",93,73595,4.39,"5817f156d8ef7848c3b400cc",1,"5e21311e2e434806022e2d5f","93 % avis positifs (73,595 notes)"
7,6,5000,0,3.29,1042,46,"CN","Kallyett",81,3460,3.87,"5d49403060c79c113a908720",0,"5d9cbb8cf401a262dbc2f81c","81 % avis positifs (3,460 notes)"
12,11,100,0,2,3,38,"CN","zhaangyuu",84,5301,4,"5abbab1d7c27687c3daaad6e",0,"5eb0d6ce8924cd08428a902a","84 % avis positifs (5,301 notes)"
6,17,100,0,4.14,93,74,"US","trustlie",NULL,629,4.17,"59f9687a37f9f80d31798d60",0,"5c7a4ff0fc2f9d2ebdc57be4","(629 notes)"
6,17,5000,0,3.28,449,49,"CN","Wufangzhong",89,7851,4.22,"5d173ba2dbf7606ee45e0b19",0,"5e71e299eb0f3b5a3af7c35f","89 % avis positifs (7,851 notes)"
8,7,100,1,3.89,9,28,"CN","shuilingjiao international trade company",NULL,88193,4.08,"5533c83986ff95173dc017d0",1,"5ec1ed21f4cb0a320a390bca","(88,193 notes)"
8,7,100,0,3.14,29,32,"CN","feijituan",89,89,4.07,"5d43cb4c4c7855604ee59bbb",0,"5d5531bfde263a630dedc093","89 % avis positifs (89 notes)"
11,84,1000,0,3.98,792,137,"CN","zhengruirong",89,6460,4.14,"590eda48f3d19c203c2648e4",0,"5c6770a544f429173fab6b0d","89 % avis positifs (6,460 notes)"
6,22,5000,0,4.04,548,55,"CN","wangjiangxu",84,7076,3.97,"58311e2257e86a1b8863f74c",0,"5d401a46387b8d36d665b17b","84 % avis positifs (7,076 notes)"
11,10,1000,1,3.76,168,42,"CN","love ~xi",79,1452,3.74,"5aca1225e053885132dc837a",0,"5e0eb9a3ce94460127984053","79% Positive Feedback (1,452 ratings)"
9,8,100,1,4.16,31,35,"CN","Wang Flag Fashion",84,2869,3.97,"5d46cdb476befe7f781dd1af",0,"5e4b795796159b77894f2afd","84 % avis positifs (2,869 notes)"
3.78,4,1000,1,3.35,79,38,NULL,"Maxnina",NULL,105015,3.79,"5177b0b63feb620dd802a197",0,"5dde07c651fe4539f9c3ee70","(105,015 notes)"
8,7,100,0,3.89,9,124,"CN","JUST_BUY",87,32724,4.1,"5729fb5ce1220e593d1b86ac",0,"5bff59032065bf4285123b4a","87 % avis positifs (32,724 notes)"
6,145,100,1,3.83,52,49,"CN","jiutunhecimu",NULL,2602,4.16,"58171618bfa9fd1994661235",0,"5e782fc60185361b7bee805f","(2,602 notes)"
8,17,1000,0,3.96,288,32,"CN","Angle.Susan",NULL,892,3.9,"5b21e84a43b3b67a3089b10d",0,"5d369a1866c3c46a8212c172","(892 notes)"
9,36,20000,0,4.09,4345,42,"CN","Shopping&Sharing",NULL,49327,4.17,"595b54fcd44a9b1180cb102b",0,"59cc60cb86ac5b2f32a92b8a","(49,327 ratings)"
5.65,5,5000,1,4.06,998,65,"CN","fashiononmywayup",89,92654,4.25,"582173d6797f2308a87626e7",1,"5abddcc030a7eb0beba353d5","89 % avis positifs (92,654 notes)"
3,3,100,0,3.4,15,36,"CN","yqlili666",81,268,3.89,"5d454f4056a26067881bb903",0,"5e79a626daa3f125000815ad","81 % avis positifs (268 notes)"
5.74,59,1000,0,3.99,71,43,"CN","zoushoujintmiao",88,3161,4.18,"5ae56280ddf45b183333ac45",0,"5e3bc68087e8cb10820b3161","88 % avis positifs (3,161 notes)"
8,7,20000,1,3.61,5641,38,"CN","Happygirl International Shopping Park",NULL,70773,4.04,"54af9c1428565a151043b6bf",0,"5525ebeb3056e817e9ccba1d","(70,773 notes)"
3.67,4,10000,1,4.31,2072,138,"CN","HENTOL",NULL,11333,4.4,"57713183bd6b18740117229d",1,"5d03bea61eff7835fb25338b","(11,333 notes)"
7,50,1000,0,3.49,49,132,"CN","kaiqiangmaoyi",NULL,1290,4.01,"5d47dd864f7ba75f53d67c7c",0,"5d80989a9abb1f75b86fb8ce","(1,290 notes)"
8,7,5000,1,3.69,894,33,"CN","owlzaw",NULL,3209,4.28,"59410b5a7c64942ee36dad7a",0,"5b1f7d6c3c6b9b16c50a857c","(3,209 notes)"
11,10,1000,0,3.64,357,41,"CN","Petha's boutique",86,39381,4.07,"566012f6769a5629aefca555",0,"5b909b94073c6b7adb985307","86 % avis positifs (39,381 notes)"
8,7,50,0,4,6,42,"CN","VactoryBuy",89,19281,4.16,"578caf669035dc557db297c0",0,"5eb2218fbeadef13bbcd71ad","89 % avis positifs (19,281 notes)"
22,169,1000,1,3.38,542,35,"CN","yuhang081899",88,9341,4.15,"5b7ecbfa7956ef54b750df16",0,"5c6275876c0cb22f5e6ba570","88 % avis positifs (9,341 notes)"
